Accession	Female_Parent	Male_Parent	Cross_Type
BR-17F1wx-002-75	7909	BGM-0728	biparental
BR-17F1wx-002-76			
BR-17F1wx-002-96	7909	BGM-0728	biparental
BR-17F1wx-003-01	7909	BGM-0935	biparental
BR-17F1wx-003-02	7909	BGM-0935	biparental
BR-17F1wx-003-03	7909	BGM-0935	biparental
BR-17F1wx-003-04			
BR-17F1wx-003-05	7909	BGM-0935	biparental
BR-17F1wx-003-06	7909	BGM-0935	biparental
BR-17F1wx-003-07	7909	BGM-0935	biparental
BR-17F1wx-003-08	7909	BGM-0935	biparental
BR-17F1wx-003-09	7909	BGM-0935	biparental
BR-17F1wx-003-10	7909	BGM-0935	biparental
BR-17F1wx-003-11			
BR-17F1wx-003-12			
BR-17F1wx-003-13	7909	BGM-0935	biparental
BR-17F1wx-003-14	7909	BGM-0935	biparental
BR-17F1wx-003-15			
BR-17F1wx-003-16	7909	BGM-0935	biparental
BR-17F1wx-003-18	7909	BGM-0935	biparental
BR-17F1wx-003-20	7909	BGM-0935	biparental
BR-17F1wx-003-21	7909	BGM-0935	biparental
BR-17F1wx-003-22	7909	BGM-0935	biparental
BR-17F1wx-003-23	7909	BGM-0935	biparental
BR-17F1wx-003-25			
BR-17F1wx-003-26	7909	BGM-0935	biparental
BR-17F1wx-003-28	7909	BGM-0935	biparental
BR-17F1wx-003-29	7909	BGM-0935	biparental
BR-17F1wx-003-31	7909	BGM-0935	biparental
BR-17F1wx-003-32	7909	BGM-0935	biparental
BR-17F1wx-003-33	7909	BGM-0935	biparental
BR-17F1wx-003-38	7909	BGM-0935	biparental
BR-17F1wx-003-43			
BR-17F1wx-003-47			
BR-17F1wx-003-57	7909	BGM-0935	biparental
BR-17F1wx-003-59	7909	BGM-0935	biparental
BR-17F1wx-003-60	7909	BGM-0935	biparental
BR-17F1wx-003-62	7909	BGM-0935	biparental
BR-17F1wx-003-73			
BR-17S1-030-06	BGM-2107	BGM-2107	self
BR-17S1-030-71	BGM-2107	BGM-2107	self
BR-17S2-057-06	BR-14S1-0728-42	BR-14S1-0728-42	self
BR-17wx-02-05			
BR-17wx-02-13			
BR-17wx-02-14			
BR-17wx-02-31			
BR-18-000-1120			
BR-18-002-01	BR-11S1-52-23	BGM-0252	biparental
BR-18-006-02	BGM-2338	BR-11S1-53-07	biparental
BR-18-006-03	BGM-2338	BR-11S1-53-07	biparental
BR-18-006-04	BGM-2338	BR-11S1-53-07	biparental
BR-18-006-05	BGM-2338	BR-11S1-53-07	biparental
BR-18-006-07	BGM-2338	BR-11S1-53-07	biparental
BR-18-007	BGM-2325	BGM-0661	biparental
BR-18-008	367-09	BGM-0661	biparental
BR-18-010	BGM-1130	BGM-0661	biparental
BR-18-011	BGM-2167	BGM-0661	biparental
BR-18-012	BRS-Dourada	BGM-0661	biparental
BR-18-013	BRS-Jari	BGM-0661	biparental
BR-18-017	BGM-0464	BGM-0816	biparental
BR-18-017-06	BGM-0464	BGM-0816	biparental
BR-18-018	BGM-0661	BGM-0816	biparental
BR-18-018-112	BGM-0661	BGM-0816	biparental
BR-18-018-115	BGM-0661	BGM-0816	biparental
BR-18-018-12	BGM-0661	BGM-0816	biparental
BR-18-018-121	BGM-0661	BGM-0816	biparental
BR-18-018-122	BGM-0661	BGM-0816	biparental
BR-18-018-14	BGM-0661	BGM-0816	biparental
BR-18-018-140	BGM-0661	BGM-0816	biparental
BR-18-018-15	BGM-0661	BGM-0816	biparental
BR-18-018-169	BGM-0661	BGM-0816	biparental
BR-18-018-21	BGM-0661	BGM-0816	biparental
BR-18-018-41	BGM-0661	BGM-0816	biparental
BR-18-018-6	BGM-0661	BGM-0816	biparental
BR-18-018-78	BGM-0661	BGM-0816	biparental
BR-18-018-97	BGM-0661	BGM-0816	biparental
BR-18-019	BGM-2094	BGM-0816	biparental
BR-18-023	BGM-0816	BGM-1130	biparental
BR-18-024	BGM-0918	BGM-1130	biparental
BR-18-026	BGM-0468	BGM-1259	biparental
BR-18-027	BGM-0661	BGM-1332	biparental
BR-18-028-01	BGM-1583	BRS-Gema-de-Ovo	biparental
