sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness
144,BR-18GS-085-83,BR-21GS-C3-061-27,3804,TGV,SELIND,34.2361133486766,6.97819514216354,52.8678943782532
145,BR-18GS-001-3,BR-21GS-C3-055-6,3519,TGV,SELIND,32.4725832077987,7.6351881022327,52.85853544076
146,BR-18GS-085-83,BR-18GS-059-62,3411,TGV,SELIND,32.1533005245993,7.75161894220812,52.850123100295
147,BR-18GS-085-83,BR-18GS-085-38,3497,TGV,SELIND,31.5781987541264,7.96335769059243,52.8403637880082
148,BR-21GS-C3-287-9,BR-18GS-034-27,3744,TGV,SELIND,36.1171183807922,6.2608397758901,52.8335605824188
149,BR-18GS-085-83,BR-18GS-001-1,3693,TGV,SELIND,32.7224177572116,7.52952584674089,52.8262517680098
150,BR-18GS-001-3,BR-21GS-C3-162-17,3550,TGV,SELIND,32.9360508215467,7.44571616784268,52.8161129896866
151,BR-18GS-001-3,BGM-0140,4266,TGV,SELIND,34.522735609262,6.85114103321563,52.8152821679477
152,BR-18GS-085-83,BR-18GS-085-3,3320,TGV,SELIND,32.3535804428452,7.66160241318074,52.8100588860378
153,BR-18GS-085-83,BR-18GS-001-23,3612,TGV,SELIND,31.4588035477756,7.99446080132625,52.8040138873167
154,BR-18GS-059-43,BR-19GS-063-59,3487,TGV,SELIND,36.8842515682288,5.96059161122122,52.7990311701895
155,BR-18GS-001-3,BR-21GS-C3-057-12,3556,TGV,SELIND,33.7225699828029,7.14417037380312,52.7975048808573
156,BR-18GS-085-83,BR-18GS-109-23,3591,TGV,SELIND,33.2801685327013,7.30975489561636,52.797214103997
157,BR-18GS-085-83,BR-18GS-059-73,3505,TGV,SELIND,34.0331728630893,7.02709357034488,52.7955126959101
158,BR-18GS-001-3,BR-21GS-C3-132-18,3350,TGV,SELIND,34.8384625466865,6.72131557648614,52.7843751359044
159,BR-18GS-085-83,BR-19GS-048-2,3752,TGV,SELIND,32.8806914631663,7.45045259202489,52.7733998838727
