sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness,type
91,BR-18GS-001-3,BGM-1024,4170,BV,SELIND,41.9673043928468,7.44117054841881,61.8352297571251,FALSE
92,BR-18GS-001-3,BR-18GS-131-17,3309,BV,SELIND,42.716253321679,7.1486992893651,61.8032804242838,FALSE
93,BR-21GS-C3-287-9,BR-18GS-098-1,3619,BV,SELIND,44.3963231888897,6.50208285776848,61.7568844191316,FALSE
94,BR-18GS-001-3,BGM-0018,4204,BV,SELIND,40.3602700946812,8.01052574547237,61.7483738350924,FALSE
95,BR-18GS-085-83,BR-21GS-C3-286-31,3571,BV,SELIND,40.2108475549243,8.05600474377317,61.7203802207986,FALSE
96,BR-21GS-C3-287-9,BR-18GS-034-27,3744,BV,SELIND,43.7943893427321,6.70493594781458,61.696568323397,FALSE
97,BR-21GS-C3-287-9,BR-21GS-C3-069-3,3469,BV,SELIND,44.3568587689997,6.48848145952697,61.6811042659367,FALSE
98,BR-18GS-085-83,BR-18GS-001-1,3693,BV,SELIND,39.4056265519493,8.34196275639243,61.6786671115171,FALSE
99,BR-18GS-085-83,BR-18GS-129-36,3565,BV,SELIND,40.3897680818933,7.96715371681129,61.6620685057794,FALSE
100,BR-21GS-C3-287-9,BR-19GS-113-8,3273,BV,SELIND,45.0653093596299,6.21509943191977,61.6596248428557,FALSE
101,BR-18GS-001-3,BR-18GS-085-84,3615,BV,SELIND,42.0394358389905,7.34126801795792,61.6406214469382,FALSE
102,BR-18GS-085-83,BR-21GS-C3-293-3,3913,BV,SELIND,40.7836675641596,7.80299151374374,61.6176549058554,FALSE
103,BR-19GS-063-59,BR-18GS-034-21,3831,BV,SELIND,41.6465312881939,7.47805307093205,61.6129329875825,FALSE
104,BR-18GS-001-3,BR-21GS-C3-217-6,3520,BV,SELIND,41.0288127820753,7.70542472620607,61.6022968010455,FALSE
105,BR-18GS-085-83,BR-18GS-085-3,3320,BV,SELIND,39.1740212489376,8.3967333522077,61.5932992993322,FALSE
106,BR-18GS-001-3,BR-18GS-085-161,3553,BV,SELIND,40.0998154848035,8.04756760116037,61.5868209799017,FALSE
107,BR-18GS-001-3,BR-21GS-C3-265-9,3357,BV,SELIND,39.0327400409721,8.44529415854178,61.5816754442786,FALSE
108,BR-18GS-085-83,BR-19GS-048-2,3752,BV,SELIND,39.4189044975154,8.30032108616621,61.5807617975792,FALSE
109,BR-18GS-085-83,BR-21GS-C3-061-27,3804,BV,SELIND,40.9681105230374,7.71981555442872,61.5800180533621,FALSE
110,BR-18GS-001-3,BR-19GS-153-2,3644,BV,SELIND,40.6733521012107,7.82614570047764,61.569161121486,FALSE
111,BR-18GS-085-83,BR-21GS-C3-286-5,3680,BV,SELIND,41.5251548477719,7.50697792401321,61.5687859048872,FALSE
112,BR-18GS-085-83,BR-18GS-129-58,3702,BV,SELIND,40.9873562784392,7.70610812323498,61.5626649674766,FALSE
113,BR-18GS-001-3,BR-18GS-134-29,3783,BV,SELIND,42.1393425097073,7.26824274284724,61.5455506331095,FALSE
114,BR-21GS-C3-287-9,BR-18GS-059-29,3440,BV,SELIND,42.4725031536148,7.13520011781823,61.5234874681894,FALSE
115,BR-18GS-085-83,BR-18GS-085-144,3357,BV,SELIND,41.1606992134241,7.62487400252386,61.5191128001628,FALSE
116,BR-18GS-085-83,BR-18GS-034-29,3697,BV,SELIND,39.2568555962795,8.33680493102311,61.5161247621112,FALSE
117,BR-18GS-085-83,BR-21GS-C3-104-63,3655,BV,SELIND,42.2858786752608,7.1916420100706,61.4875628421493,FALSE
118,BR-18GS-085-83,BR-18GS-109-23,3591,BV,SELIND,39.6702961973245,8.1482080500997,61.4260116910907,FALSE
119,BR-18GS-085-83,BGM-0144,4232,BV,SELIND,40.8693511263324,7.69144171651524,61.4055005094281,FALSE
120,BR-18GS-001-3,BR-21GS-C3-286-31,3426,BV,SELIND,39.681489234347,8.13374117840449,61.398578180687,FALSE
121,BR-18GS-085-83,BR-18GS-085-38,3497,BV,SELIND,37.9938949929689,8.74858828705858,61.3526257194154,FALSE
122,BR-19GS-030-39,BR-18GS-034-21,3792,BV,SELIND,40.8418851467567,7.68130716415036,61.3509752750381,FALSE
123,BR-18GS-001-3,BR-18GS-001-1,3172,BV,SELIND,38.8762682313721,8.4170586165605,61.3498147375886,FALSE
124,BR-18GS-001-3,BR-18GS-129-36,3789,BV,SELIND,39.8604097613161,8.04574865832118,61.3425586790336,FALSE
125,BR-18GS-085-83,BR-21GS-C3-106-5,3782,BV,SELIND,42.4848248717323,7.05676010988308,61.3263743651201,FALSE
126,BR-18GS-001-3,BR-21GS-C3-293-3,3607,BV,SELIND,40.2543092435824,7.88322330580162,61.3025154700728,FALSE
127,BR-18GS-085-83,BR-18GS-099-32,3686,BV,SELIND,41.1661247109649,7.54101595830867,61.3006373196491,FALSE
128,BR-18GS-001-3,BR-21GS-C3-061-27,3492,BV,SELIND,40.4387522024602,7.80090285287393,61.2671628196336,FALSE
129,BR-18GS-001-3,BR-18GS-085-3,3799,BV,SELIND,38.6446629283604,8.47134370177803,61.2631506121077,FALSE
130,BR-18GS-001-3,BR-21GS-C3-286-5,3399,BV,SELIND,40.9957965271947,7.59033929921441,61.2620024560972,FALSE
131,BR-18GS-001-3,BR-19GS-048-2,3658,BV,SELIND,38.8895461769382,8.37579030653421,61.2529062953846,FALSE
132,BR-18GS-001-3,BR-18GS-129-58,3877,BV,SELIND,40.457997957862,7.78733815450217,61.2501908303828,FALSE
133,BR-18GS-085-83,BR-21GS-C3-104-13,3606,BV,SELIND,42.0501195487487,7.18857555105746,61.2436162700721,FALSE
134,BR-18GS-085-83,BR-18GS-034-18,3793,BV,SELIND,38.3306874158106,8.57230911045361,61.2187527407218,FALSE
135,BR-18GS-001-3,BR-18GS-085-144,3656,BV,SELIND,40.6313408928469,7.70696027496842,61.2089248270125,FALSE
136,BR-18GS-001-3,BR-21GS-C3-104-63,3451,BV,SELIND,41.7565203546836,7.27861579742944,61.1904245338202,FALSE
137,BR-18GS-001-3,BR-18GS-034-29,3787,BV,SELIND,38.7274972757023,8.41194683670244,61.1873953296979,FALSE
138,BR-19GS-063-59,BR-19GS-030-39,3036,BV,SELIND,42.7178410832929,6.90890251007155,61.164610785184,FALSE
139,BR-18GS-085-83,BR-21GS-C3-104-33,3796,BV,SELIND,41.1453538589526,7.49081120539989,61.1458197773703,FALSE
140,BR-18GS-085-83,BR-18GS-001-14,3670,BV,SELIND,41.1877877532234,7.46174575156826,61.1106489099107,FALSE
141,BR-18GS-001-3,BR-18GS-109-23,3479,BV,SELIND,39.1409378767473,8.22507310321839,61.1018830623404,FALSE
142,BR-18GS-001-3,BGM-0144,3800,BV,SELIND,40.3399928057552,7.77282502080987,61.0934356113176,FALSE
143,BR-18GS-085-83,BR-21GS-C3-057-29,3644,BV,SELIND,40.716144830355,7.63152232408976,61.0923094356747,FALSE
144,BR-18GS-085-83,BGM-1371,4307,BV,SELIND,42.3982551604598,6.98948476087388,61.060179471993,FALSE
145,BR-18GS-085-83,BR-21GS-C3-286-8,3969,BV,SELIND,37.7572325811493,8.72676563962687,61.0576968389531,FALSE
146,BR-18GS-085-83,BGM-0140,4220,BV,SELIND,40.5127640933539,7.69369326567967,61.0549251127186,FALSE
147,BR-18GS-085-83,BR-18GS-001-23,3612,BV,SELIND,37.399902545011,8.85354846341712,61.0388769423347,FALSE
148,BR-18GS-001-3,BR-21GS-C3-106-5,3552,BV,SELIND,41.9554665511551,7.14537587352926,61.0336201334783,FALSE
149,BR-18GS-085-83,BR-18GS-059-62,3411,BV,SELIND,38.0238245561063,8.61159329462732,61.0167786527612,FALSE
150,BR-18GS-001-3,BR-18GS-085-38,3675,BV,SELIND,37.4645366723917,8.82022279435365,61.014531533316,FALSE
151,BR-21GS-C3-287-9,BR-18GS-084-34,3662,BV,SELIND,43.4372117215755,6.58197078951589,61.0110737295829,FALSE
152,BR-18GS-001-3,BR-18GS-099-32,3544,BV,SELIND,40.6367663903877,7.62400516848218,60.9928601902351,FALSE
153,BR-21GS-C3-287-9,BR-21GS-C3-286-1,3173,BV,SELIND,43.9026008550028,6.39733380950189,60.9834821263728,FALSE
154,BR-18GS-059-43,BR-18GS-034-21,3859,BV,SELIND,41.5172432010732,7.28903295556804,60.9789611924399,FALSE
155,BR-21GS-C3-287-9,BGM-0049,4051,BV,SELIND,43.1816348292265,6.66281024407762,60.9713381809137,FALSE
156,BR-18GS-001-3,BR-21GS-C3-104-13,3350,BV,SELIND,41.5207612281715,7.27558599556339,60.9465758363258,FALSE
157,BR-18GS-034-21,BGM-0048,3996,BV,SELIND,38.7132260942089,8.31781709564992,60.9217977395942,FALSE
158,BR-19GS-063-59,BGM-0048,3660,BV,SELIND,40.5891820307451,7.61029141231343,60.908660101622,FALSE
159,BR-18GS-085-83,BR-21GS-C3-162-17,3763,BV,SELIND,38.8560257495596,8.2537223657942,60.8934644662301,FALSE
160,BR-18GS-001-3,BR-18GS-034-18,3798,BV,SELIND,37.8013290952334,8.64540436363407,60.8845587461364,FALSE
